id1,id2,match_len,is_rc,score
724,869,32,+,251.46749457574953
277,882,32,+,250.8943839159927
833,988,32,+,250.82997548538123
541,740,32,+,250.74396853553753
370,495,32,+,250.7115735939381
327,508,32,+,250.59937001303405
421,537,32,+,250.5857239725086
586,775,32,+,250.38722032254591
449,723,32,+,250.31443350271454
355,625,32,+,249.83624099023407
234,965,32,+,249.579632353971
355,696,32,+,249.33023825755944
582,978,32,+,249.23636700353725
364,591,32,+,249.05864933066482
1,458,32,+,249.02588232018192
89,298,32,+,249.0117596444257
583,586,32,+,248.98004654647403
287,895,32,+,248.9341568627622
714,785,32,+,248.8521465378991
262,477,32,+,248.79932198308532
395,726,32,+,248.7059388317655
518,977,32,+,248.70331396052038
162,206,32,+,248.60101275087845
598,712,32,+,248.2381420888777
60,694,32,+,248.1038150142549
237,985,32,+,247.87628539653625
526,754,32,+,247.8725343701898
580,778,32,+,247.8340932352903
288,643,32,+,247.8300688280223
437,927,32,+,247.79374254193567
300,729,32,+,247.78192692036328
312,360,32,-,247.7487541999706
312,360,32,+,247.7487541999706
51,242,32,+,247.67376702646894
312,495,32,+,247.23781743083075
29,288,32,+,247.18456088769562
246,504,32,+,247.1530570854009
627,940,32,+,246.9286744179399
82,324,32,+,246.9105793045028
339,846,32,+,246.79181506168484
89,416,32,+,246.77070451935884
449,756,32,+,246.70437414414636
8,215,32,+,246.67620311068592
8,215,32,-,246.67620311068592
347,656,32,+,246.53719434791947
177,402,32,+,246.5056545026283
557,991,32,+,246.4886347420915
111,531,32,+,246.48428944548468
656,896,32,+,246.47784188676073
907,994,32,+,246.40820293412986
354,706,32,+,246.21452368638353
183,671,32,+,246.19583946396412
364,413,32,+,246.17892802443075
29,496,32,+,245.9930919281082
28,580,32,+,245.85136457175471
571,723,32,+,245.7589394262283
286,744,32,+,245.61998933423254
261,489,32,+,245.53983944382756
298,416,32,+,245.40138687099932
354,555,32,+,245.07534374245293
835,979,32,+,245.0633303151441
173,886,32,+,244.99929130021883
206,289,32,+,244.78602007231012
327,513,32,+,244.6975869164776
136,224,32,+,244.64049946128577
541,552,32,+,244.63828154090874
208,604,32,+,244.61950749667173
391,824,32,+,244.49491550368242
302,338,32,+,244.3440154404313
324,753,32,+,244.1995246991479
874,926,32,+,244.1381595686743
267,433,32,+,244.10541380592733
594,994,32,+,244.08137627426035
608,938,32,+,243.99953476146706
198,706,32,+,243.9849597131173
141,433,32,+,243.97994574411578
495,631,32,+,243.95349502953215
140,594,32,+,243.93000671774396
717,832,32,+,243.7997656786839
660,783,32,+,243.7687759231194
370,513,32,+,243.74800717157336
314,991,32,+,243.6661812100566
580,805,32,+,243.57813301357737
140,425,32,+,243.5504418854005
564,979,32,+,243.27959476297582
371,751,32,+,243.17733096588552
591,682,32,+,243.14119954134244
458,785,32,+,243.0964671404138
505,659,32,+,243.08610699510314
267,380,32,+,243.00883153950096
84,503,32,+,242.99863970434274
518,632,32,+,242.9511819858309
763,835,32,+,242.85481093430732
126,928,31,+,242.6493107727014
458,660,32,+,242.63760194491732
33,709,32,+,242.58705245873523
0,312,32,+,242.4752942032505
60,823,32,+,242.30227525680635
413,605,32,+,242.27432469350924
244,958,32,+,242.08919320307464
769,898,32,+,242.0548469623595
277,658,32,+,242.01652621057318
366,489,32,+,241.71788830351989
145,619,32,+,241.61081533226957
583,748,32,+,241.47732827913939
724,824,32,+,241.44924271754005
530,601,32,+,241.44003479260792
496,643,32,+,241.41081982215903
267,650,32,+,241.36528097576152
507,815,32,+,241.31250916191848
332,392,32,+,241.3047204886374
908,928,32,+,241.27639421777656
159,649,32,+,241.21866516164587
389,507,32,+,241.15985539960982
231,848,32,+,240.9467583828624
649,889,32,+,240.94120622455662
82,737,32,+,240.84773744761227
358,579,32,+,240.79416341002155
409,928,32,+,240.73367641427012
756,797,32,+,240.72538772071607
